"city_id","city","country_id","last_update"
1,"A Corua (La Corua)",87,"2020-02-15 02:45:25-07"
2,"Abha",82,"2020-02-15 02:45:25-07"
3,"Abu Dhabi",101,"2020-02-15 02:45:25-07"
4,"Acua",60,"2020-02-15 02:45:25-07"
5,"Adana",97,"2020-02-15 02:45:25-07"
6,"Addis Abeba",31,"2020-02-15 02:45:25-07"
7,"Aden",107,"2020-02-15 02:45:25-07"
8,"Adoni",44,"2020-02-15 02:45:25-07"
9,"Ahmadnagar",44,"2020-02-15 02:45:25-07"
10,"Akishima",50,"2020-02-15 02:45:25-07"
11,"Akron",103,"2020-02-15 02:45:25-07"
12,"al-Ayn",101,"2020-02-15 02:45:25-07"
13,"al-Hawiya",82,"2020-02-15 02:45:25-07"
14,"al-Manama",11,"2020-02-15 02:45:25-07"
15,"al-Qadarif",89,"2020-02-15 02:45:25-07"
16,"al-Qatif",82,"2020-02-15 02:45:25-07"
17,"Alessandria",49,"2020-02-15 02:45:25-07"
18,"Allappuzha (Alleppey)",44,"2020-02-15 02:45:25-07"
19,"Allende",60,"2020-02-15 02:45:25-07"
20,"Almirante Brown",6,"2020-02-15 02:45:25-07"
21,"Alvorada",15,"2020-02-15 02:45:25-07"
22,"Ambattur",44,"2020-02-15 02:45:25-07"
23,"Amersfoort",67,"2020-02-15 02:45:25-07"
24,"Amroha",44,"2020-02-15 02:45:25-07"
25,"Angra dos Reis",15,"2020-02-15 02:45:25-07"
26,"Anpolis",15,"2020-02-15 02:45:25-07"
27,"Antofagasta",22,"2020-02-15 02:45:25-07"
28,"Aparecida de Goinia",15,"2020-02-15 02:45:25-07"
29,"Apeldoorn",67,"2020-02-15 02:45:25-07"
30,"Araatuba",15,"2020-02-15 02:45:25-07"
31,"Arak",46,"2020-02-15 02:45:25-07"
32,"Arecibo",77,"2020-02-15 02:45:25-07"
33,"Arlington",103,"2020-02-15 02:45:25-07"
34,"Ashdod",48,"2020-02-15 02:45:25-07"
35,"Ashgabat",98,"2020-02-15 02:45:25-07"
36,"Ashqelon",48,"2020-02-15 02:45:25-07"
37,"Asuncin",73,"2020-02-15 02:45:25-07"
38,"Athenai",39,"2020-02-15 02:45:25-07"
39,"Atinsk",80,"2020-02-15 02:45:25-07"
40,"Atlixco",60,"2020-02-15 02:45:25-07"
41,"Augusta-Richmond County",103,"2020-02-15 02:45:25-07"
42,"Aurora",103,"2020-02-15 02:45:25-07"
43,"Avellaneda",6,"2020-02-15 02:45:25-07"
44,"Bag",15,"2020-02-15 02:45:25-07"
45,"Baha Blanca",6,"2020-02-15 02:45:25-07"
46,"Baicheng",23,"2020-02-15 02:45:25-07"
47,"Baiyin",23,"2020-02-15 02:45:25-07"
48,"Baku",10,"2020-02-15 02:45:25-07"
49,"Balaiha",80,"2020-02-15 02:45:25-07"
50,"Balikesir",97,"2020-02-15 02:45:25-07"
51,"Balurghat",44,"2020-02-15 02:45:25-07"
52,"Bamenda",19,"2020-02-15 02:45:25-07"
53,"Bandar Seri Begawan",16,"2020-02-15 02:45:25-07"
54,"Banjul",37,"2020-02-15 02:45:25-07"
55,"Barcelona",104,"2020-02-15 02:45:25-07"
56,"Basel",91,"2020-02-15 02:45:25-07"
57,"Bat Yam",48,"2020-02-15 02:45:25-07"
58,"Batman",97,"2020-02-15 02:45:25-07"
59,"Batna",2,"2020-02-15 02:45:25-07"
60,"Battambang",18,"2020-02-15 02:45:25-07"
61,"Baybay",75,"2020-02-15 02:45:25-07"
62,"Bayugan",75,"2020-02-15 02:45:25-07"
63,"Bchar",2,"2020-02-15 02:45:25-07"
64,"Beira",63,"2020-02-15 02:45:25-07"
65,"Bellevue",103,"2020-02-15 02:45:25-07"
