"actor_id","film_id","last_update"
1,1,"2020-02-15 03:05:03-07"
1,23,"2020-02-15 03:05:03-07"
1,25,"2020-02-15 03:05:03-07"
1,106,"2020-02-15 03:05:03-07"
1,140,"2020-02-15 03:05:03-07"
1,166,"2020-02-15 03:05:03-07"
1,277,"2020-02-15 03:05:03-07"
1,361,"2020-02-15 03:05:03-07"
1,438,"2020-02-15 03:05:03-07"
1,499,"2020-02-15 03:05:03-07"
1,506,"2020-02-15 03:05:03-07"
1,509,"2020-02-15 03:05:03-07"
1,605,"2020-02-15 03:05:03-07"
1,635,"2020-02-15 03:05:03-07"
1,749,"2020-02-15 03:05:03-07"
1,832,"2020-02-15 03:05:03-07"
1,939,"2020-02-15 03:05:03-07"
1,970,"2020-02-15 03:05:03-07"
1,980,"2020-02-15 03:05:03-07"
2,3,"2020-02-15 03:05:03-07"
2,31,"2020-02-15 03:05:03-07"
2,47,"2020-02-15 03:05:03-07"
2,105,"2020-02-15 03:05:03-07"
2,132,"2020-02-15 03:05:03-07"
2,145,"2020-02-15 03:05:03-07"
2,226,"2020-02-15 03:05:03-07"
2,249,"2020-02-15 03:05:03-07"
2,314,"2020-02-15 03:05:03-07"
2,321,"2020-02-15 03:05:03-07"
2,357,"2020-02-15 03:05:03-07"
2,369,"2020-02-15 03:05:03-07"
2,399,"2020-02-15 03:05:03-07"
2,458,"2020-02-15 03:05:03-07"
2,481,"2020-02-15 03:05:03-07"
2,485,"2020-02-15 03:05:03-07"
2,518,"2020-02-15 03:05:03-07"
2,540,"2020-02-15 03:05:03-07"
2,550,"2020-02-15 03:05:03-07"
2,555,"2020-02-15 03:05:03-07"
2,561,"2020-02-15 03:05:03-07"
2,742,"2020-02-15 03:05:03-07"
2,754,"2020-02-15 03:05:03-07"
2,811,"2020-02-15 03:05:03-07"
2,958,"2020-02-15 03:05:03-07"
3,17,"2020-02-15 03:05:03-07"
3,40,"2020-02-15 03:05:03-07"
3,42,"2020-02-15 03:05:03-07"
3,87,"2020-02-15 03:05:03-07"
3,111,"2020-02-15 03:05:03-07"
3,185,"2020-02-15 03:05:03-07"
3,289,"2020-02-15 03:05:03-07"
3,329,"2020-02-15 03:05:03-07"
3,336,"2020-02-15 03:05:03-07"
3,341,"2020-02-15 03:05:03-07"
3,393,"2020-02-15 03:05:03-07"
3,441,"2020-02-15 03:05:03-07"
3,453,"2020-02-15 03:05:03-07"
3,480,"2020-02-15 03:05:03-07"
3,539,"2020-02-15 03:05:03-07"
3,618,"2020-02-15 03:05:03-07"
3,685,"2020-02-15 03:05:03-07"
3,827,"2020-02-15 03:05:03-07"
3,966,"2020-02-15 03:05:03-07"
3,967,"2020-02-15 03:05:03-07"
3,971,"2020-02-15 03:05:03-07"
3,996,"2020-02-15 03:05:03-07"
4,23,"2020-02-15 03:05:03-07"
4,25,"2020-02-15 03:05:03-07"
4,56,"2020-02-15 03:05:03-07"
