"inventory_id","film_id","store_id","last_update"
1,1,1,"2020-02-15 03:09:17-07"
2,1,1,"2020-02-15 03:09:17-07"
3,1,1,"2020-02-15 03:09:17-07"
4,1,1,"2020-02-15 03:09:17-07"
5,1,2,"2020-02-15 03:09:17-07"
6,1,2,"2020-02-15 03:09:17-07"
7,1,2,"2020-02-15 03:09:17-07"
8,1,2,"2020-02-15 03:09:17-07"
9,2,2,"2020-02-15 03:09:17-07"
10,2,2,"2020-02-15 03:09:17-07"
11,2,2,"2020-02-15 03:09:17-07"
12,3,2,"2020-02-15 03:09:17-07"
13,3,2,"2020-02-15 03:09:17-07"
14,3,2,"2020-02-15 03:09:17-07"
15,3,2,"2020-02-15 03:09:17-07"
16,4,1,"2020-02-15 03:09:17-07"
17,4,1,"2020-02-15 03:09:17-07"
18,4,1,"2020-02-15 03:09:17-07"
19,4,1,"2020-02-15 03:09:17-07"
20,4,2,"2020-02-15 03:09:17-07"
21,4,2,"2020-02-15 03:09:17-07"
22,4,2,"2020-02-15 03:09:17-07"
23,5,2,"2020-02-15 03:09:17-07"
24,5,2,"2020-02-15 03:09:17-07"
25,5,2,"2020-02-15 03:09:17-07"
26,6,1,"2020-02-15 03:09:17-07"
27,6,1,"2020-02-15 03:09:17-07"
28,6,1,"2020-02-15 03:09:17-07"
29,6,2,"2020-02-15 03:09:17-07"
30,6,2,"2020-02-15 03:09:17-07"
31,6,2,"2020-02-15 03:09:17-07"
32,7,1,"2020-02-15 03:09:17-07"
33,7,1,"2020-02-15 03:09:17-07"
34,7,2,"2020-02-15 03:09:17-07"
35,7,2,"2020-02-15 03:09:17-07"
36,7,2,"2020-02-15 03:09:17-07"
37,8,2,"2020-02-15 03:09:17-07"
38,8,2,"2020-02-15 03:09:17-07"
39,8,2,"2020-02-15 03:09:17-07"
40,8,2,"2020-02-15 03:09:17-07"
41,9,1,"2020-02-15 03:09:17-07"
42,9,1,"2020-02-15 03:09:17-07"
43,9,1,"2020-02-15 03:09:17-07"
44,9,2,"2020-02-15 03:09:17-07"
45,9,2,"2020-02-15 03:09:17-07"
46,10,1,"2020-02-15 03:09:17-07"
47,10,1,"2020-02-15 03:09:17-07"
48,10,1,"2020-02-15 03:09:17-07"
49,10,1,"2020-02-15 03:09:17-07"
50,10,2,"2020-02-15 03:09:17-07"
51,10,2,"2020-02-15 03:09:17-07"
52,10,2,"2020-02-15 03:09:17-07"
53,11,1,"2020-02-15 03:09:17-07"
54,11,1,"2020-02-15 03:09:17-07"
55,11,1,"2020-02-15 03:09:17-07"
56,11,1,"2020-02-15 03:09:17-07"
57,11,2,"2020-02-15 03:09:17-07"
58,11,2,"2020-02-15 03:09:17-07"
59,11,2,"2020-02-15 03:09:17-07"
60,12,1,"2020-02-15 03:09:17-07"
61,12,1,"2020-02-15 03:09:17-07"
62,12,1,"2020-02-15 03:09:17-07"
63,12,2,"2020-02-15 03:09:17-07"
64,12,2,"2020-02-15 03:09:17-07"
65,12,2,"2020-02-15 03:09:17-07"
66,12,2,"2020-02-15 03:09:17-07"
67,13,2,"2020-02-15 03:09:17-07"
68,13,2,"2020-02-15 03:09:17-07"
69,13,2,"2020-02-15 03:09:17-07"
70,13,2,"2020-02-15 03:09:17-07"
71,15,1,"2020-02-15 03:09:17-07"
72,15,1,"2020-02-15 03:09:17-07"
73,15,2,"2020-02-15 03:09:17-07"
74,15,2,"2020-02-15 03:09:17-07"
75,15,2,"2020-02-15 03:09:17-07"
76,15,2,"2020-02-15 03:09:17-07"
77,16,1,"2020-02-15 03:09:17-07"
78,16,1,"2020-02-15 03:09:17-07"
79,16,2,"2020-02-15 03:09:17-07"
80,16,2,"2020-02-15 03:09:17-07"
81,17,1,"2020-02-15 03:09:17-07"
82,17,1,"2020-02-15 03:09:17-07"
83,17,1,"2020-02-15 03:09:17-07"
84,17,2,"2020-02-15 03:09:17-07"
85,17,2,"2020-02-15 03:09:17-07"
86,17,2,"2020-02-15 03:09:17-07"
87,18,1,"2020-02-15 03:09:17-07"
88,18,1,"2020-02-15 03:09:17-07"
89,18,1,"2020-02-15 03:09:17-07"
90,18,2,"2020-02-15 03:09:17-07"
91,18,2,"2020-02-15 03:09:17-07"
92,18,2,"2020-02-15 03:09:17-07"
93,19,1,"2020-02-15 03:09:17-07"
94,19,1,"2020-02-15 03:09:17-07"
95,19,1,"2020-02-15 03:09:17-07"
96,19,1,"2020-02-15 03:09:17-07"
97,19,2,"2020-02-15 03:09:17-07"
98,19,2,"2020-02-15 03:09:17-07"
99,20,1,"2020-02-15 03:09:17-07"
100,20,1,"2020-02-15 03:09:17-07"
101,20,1,"2020-02-15 03:09:17-07"
102,21,1,"2020-02-15 03:09:17-07"
103,21,1,"2020-02-15 03:09:17-07"
104,21,2,"2020-02-15 03:09:17-07"
105,21,2,"2020-02-15 03:09:17-07"
106,21,2,"2020-02-15 03:09:17-07"
107,21,2,"2020-02-15 03:09:17-07"
