"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
16050,269,2,7,"1.99","2020-01-24 14:40:19.996577-07"
16051,269,1,98,"0.99","2020-01-25 08:16:50.996577-07"
16052,269,2,678,"6.99","2020-01-28 14:44:14.996577-07"
16053,269,2,703,"0.99","2020-01-28 17:58:02.996577-07"
16054,269,1,750,"4.99","2020-01-29 01:10:06.996577-07"
16055,269,2,1099,"2.99","2020-01-31 05:23:14.996577-07"
16056,270,1,193,"1.99","2020-01-25 22:10:14.996577-07"
16057,270,1,1040,"4.99","2020-01-30 21:03:42.996577-07"
16058,271,1,1096,"8.99","2020-01-31 04:59:15.996577-07"
16059,272,1,33,"0.99","2020-01-24 19:47:17.996577-07"
16060,272,1,405,"6.99","2020-01-27 05:01:05.996577-07"
16061,272,1,1041,"6.99","2020-01-30 21:14:49.996577-07"
16062,272,1,1072,"0.99","2020-01-31 01:21:16.996577-07"
16063,273,2,122,"3.99","2020-01-25 11:14:47.996577-07"
16064,273,2,980,"0.99","2020-01-30 13:13:45.996577-07"
16065,274,1,147,"2.99","2020-01-25 15:46:16.996577-07"
16066,274,1,208,"4.99","2020-01-25 23:38:48.996577-07"
16067,274,2,301,"2.99","2020-01-26 12:34:40.996577-07"
16068,274,1,394,"5.99","2020-01-27 02:54:37.996577-07"
16069,274,2,474,"2.99","2020-01-27 13:40:22.996577-07"
16070,274,1,892,"4.99","2020-01-29 23:31:22.996577-07"
16071,275,2,336,"2.99","2020-01-26 18:43:49.996577-07"
16072,276,1,736,"3.99","2020-01-28 23:38:33.996577-07"
16073,276,1,860,"10.99","2020-01-29 18:13:42.996577-07"
16074,277,2,308,"6.99","2020-01-26 13:30:05.996577-07"
16075,278,1,1092,"4.99","2020-01-31 03:44:23.996577-07"
16076,279,1,979,"2.99","2020-01-30 13:05:37.996577-07"
16077,279,2,1019,"0.99","2020-01-30 18:33:33.996577-07"
16078,280,1,1014,"4.99","2020-01-30 18:07:42.996577-07"
16079,281,2,650,"2.99","2020-01-28 11:14:06.996577-07"
16080,281,2,754,"2.99","2020-01-29 01:47:25.996577-07"
16081,282,2,48,"1.99","2020-01-24 21:49:12.996577-07"
16082,282,2,282,"6.99","2020-01-26 10:24:52.996577-07"
16083,282,2,564,"0.99","2020-01-28 00:40:35.996577-07"
16084,284,2,423,"0.99","2020-01-27 07:01:23.996577-07"
16085,284,2,791,"0.99","2020-01-29 07:59:08.996577-07"
16086,284,1,1145,"6.99","2020-01-31 11:42:11.996577-07"
16087,286,2,81,"6.99","2020-01-25 03:43:45.996577-07"
16088,287,2,498,"0.99","2020-01-27 16:29:47.996577-07"
16089,287,1,655,"2.99","2020-01-28 11:44:46.996577-07"
16090,287,2,964,"2.99","2020-01-30 10:21:47.996577-07"
16091,288,2,93,"3.99","2020-01-25 07:22:42.996577-07"
16092,288,2,427,"6.99","2020-01-27 07:38:30.996577-07"
16093,288,1,503,"4.99","2020-01-27 17:03:51.996577-07"
16094,288,2,565,"5.99","2020-01-28 00:54:57.996577-07"
16095,290,1,160,"2.99","2020-01-25 17:14:46.996577-07"
16096,291,1,54,"4.99","2020-01-24 22:51:51.996577-07"
16097,291,2,747,"4.99","2020-01-29 00:55:00.996577-07"
16098,291,1,1012,"2.99","2020-01-30 17:46:31.996577-07"
16099,292,1,324,"0.99","2020-01-26 16:28:30.996577-07"
16100,293,2,445,"0.99","2020-01-27 10:11:23.996577-07"
16101,293,1,924,"4.99","2020-01-30 03:39:25.996577-07"
16102,293,2,1034,"8.99","2020-01-30 20:22:06.996577-07"
16103,294,1,595,"1.99","2020-01-28 05:28:20.996577-07"
16104,295,2,371,"3.99","2020-01-26 23:36:44.996577-07"
16105,296,2,162,"4.99","2020-01-25 17:30:31.996577-07"
16106,296,1,511,"5.99","2020-01-27 18:32:30.996577-07"
16107,296,1,869,"4.99","2020-01-29 19:50:32.996577-07"
16108,296,2,956,"2.99","2020-01-30 08:58:54.996577-07"
16109,297,2,143,"0.99","2020-01-25 15:14:18.996577-07"
16110,297,1,954,"3.99","2020-01-30 08:25:55.996577-07"
16111,298,1,383,"3.99","2020-01-27 01:40:46.996577-07"
16112,299,1,332,"5.99","2020-01-26 17:55:36.996577-07"
16113,299,2,606,"8.99","2020-01-28 06:17:05.996577-07"
16114,300,2,457,"0.99","2020-01-27 11:20:55.996577-07"
16115,300,1,780,"3.99","2020-01-29 05:46:58.996577-07"
16116,300,1,1111,"4.99","2020-01-31 06:52:45.996577-07"
16117,301,2,27,"4.99","2020-01-24 19:10:16.996577-07"
16118,301,2,227,"5.99","2020-01-26 02:20:12.996577-07"
16119,301,1,955,"0.99","2020-01-30 08:27:29.996577-07"
16120,302,2,38,"4.99","2020-01-24 20:16:10.996577-07"
16121,302,2,92,"5.99","2020-01-25 07:07:12.996577-07"
16122,303,1,265,"0.99","2020-01-26 07:36:04.996577-07"
16123,303,1,871,"2.99","2020-01-29 20:29:56.996577-07"
16124,303,2,1050,"4.99","2020-01-30 22:29:53.996577-07"
16125,304,1,135,"10.99","2020-01-25 13:27:24.996577-07"
16126,304,1,415,"0.99","2020-01-27 06:20:11.996577-07"
16127,304,2,937,"2.99","2020-01-30 06:15:57.996577-07"
16128,305,2,69,"2.99","2020-01-25 01:38:40.996577-07"
16129,306,2,375,"3.99","2020-01-27 00:17:47.996577-07"
16130,306,2,672,"6.99","2020-01-28 13:33:55.996577-07"
16131,307,2,413,"4.99","2020-01-27 06:14:03.996577-07"
16132,307,1,535,"4.99","2020-01-27 21:44:58.996577-07"
16133,307,1,614,"1.99","2020-01-28 07:01:54.996577-07"
16134,307,1,970,"6.99","2020-01-30 11:18:54.996577-07"
16135,308,2,589,"3.99","2020-01-28 03:56:16.996577-07"
